Razonamiento;Lectura_critica;Competencias_ciudadanas;Ingles;Resultado
108;103;86;124;Regular Desempeno
141;192;147;175;Buen Desempeno
138;137;121;124;Aceptable Desmpeno
144;177;114;160;Buen Desempeno
181;184;187;181;Buen Desempeno
147;171;176;169;Buen Desempeno
165;129;169;152;Buen Desempeno
163;159;111;142;Aceptable Desmpeno
205;177;158;169;Buen Desempeno
200;198;180;193;Buen Desempeno
140;206;163;171;Buen Desempeno
172;70;110;160;Aceptable Desmpeno
184;182;173;192;Buen Desempeno
172;193;171;194;Buen Desempeno
169;151;144;145;Buen Desempeno
162;179;95;134;Aceptable Desmpeno
172;152;156;162;Buen Desempeno
153;95;136;120;Aceptable Desmpeno
144;143;176;179;Buen Desempeno
151;113;117;139;Aceptable Desmpeno
178;114;169;165;Buen Desempeno
182;139;138;154;Buen Desempeno
165;145;168;141;Buen Desempeno
146;135;137;167;Aceptable Desmpeno
177;136;159;158;Buen Desempeno
149;109;94;148;Aceptable Desmpeno
152;190;211;160;Buen Desempeno
103;173;166;145;Aceptable Desmpeno
151;127;136;160;Aceptable Desmpeno
138;165;193;160;Buen Desempeno
157;177;174;166;Buen Desempeno
164;149;131;146;Buen Desempeno
148;116;132;131;Aceptable Desmpeno
135;193;172;165;Buen Desempeno
191;137;145;165;Buen Desempeno
175;145;145;129;Buen Desempeno
145;153;173;171;Buen Desempeno
144;177;177;200;Buen Desempeno
108;149;155;122;Aceptable Desmpeno
147;120;141;161;Aceptable Desmpeno
218;178;131;194;Buen Desempeno
133;144;146;157;Aceptable Desmpeno
123;157;159;156;Buen Desempeno
165;176;154;160;Buen Desempeno
171;156;183;154;Buen Desempeno
119;187;180;114;Buen Desempeno
121;137;159;163;Aceptable Desmpeno
160;174;161;156;Buen Desempeno
169;154;124;142;Buen Desempeno
172;148;177;151;Buen Desempeno
187;155;174;188;Buen Desempeno
198;173;151;155;Buen Desempeno
110;154;138;104;Aceptable Desmpeno
188;149;180;189;Buen Desempeno
118;137;137;134;Aceptable Desmpeno
131;139;141;133;Aceptable Desmpeno
188;140;156;162;Buen Desempeno
181;204;187;119;Buen Desempeno
167;175;190;157;Buen Desempeno
199;152;124;143;Buen Desempeno
197;133;118;134;Aceptable Desmpeno
186;170;140;180;Buen Desempeno
226;202;179;197;Buen Desempeno
158;143;169;145;Buen Desempeno
210;217;192;205;Buen Desempeno
190;127;125;162;Buen Desempeno
181;147;165;185;Buen Desempeno
200;204;219;221;Excelente Desempeno
172;176;172;164;Buen Desempeno
171;92;158;174;Buen Desempeno
144;134;131;154;Aceptable Desmpeno
152;169;160;175;Buen Desempeno
152;154;133;173;Buen Desempeno
157;144;152;156;Buen Desempeno
190;210;165;182;Buen Desempeno
153;111;129;133;Aceptable Desmpeno
179;177;188;147;Buen Desempeno
136;157;137;141;Aceptable Desmpeno
169;145;135;195;Buen Desempeno
141;166;178;164;Buen Desempeno
178;204;178;197;Buen Desempeno
164;143;176;194;Buen Desempeno
184;165;128;155;Buen Desempeno
165;148;154;162;Buen Desempeno
163;153;147;165;Buen Desempeno
172;150;76;131;Aceptable Desmpeno
148;188;174;158;Buen Desempeno
144;129;145;147;Aceptable Desmpeno
192;159;132;162;Buen Desempeno
156;131;146;100;Aceptable Desmpeno
164;182;149;137;Buen Desempeno
162;165;160;149;Buen Desempeno
188;195;84;164;Buen Desempeno
187;153;115;158;Buen Desempeno
138;113;148;152;Aceptable Desmpeno
173;166;141;146;Buen Desempeno
211;173;169;134;Buen Desempeno
194;148;157;155;Buen Desempeno
170;146;148;181;Buen Desempeno
223;142;168;168;Buen Desempeno
125;164;155;149;Buen Desempeno
183;211;200;191;Buen Desempeno
152;138;118;150;Aceptable Desmpeno
155;141;109;154;Aceptable Desmpeno
170;148;170;179;Buen Desempeno
189;184;181;189;Buen Desempeno
182;178;167;181;Buen Desempeno
190;189;176;197;Buen Desempeno
158;171;166;183;Buen Desempeno
194;192;179;163;Buen Desempeno
180;194;157;178;Buen Desempeno
143;162;134;163;Buen Desempeno
177;163;197;194;Buen Desempeno
177;201;201;198;Buen Desempeno
202;112;149;162;Buen Desempeno
131;130;132;153;Aceptable Desmpeno
225;180;169;148;Buen Desempeno
172;188;184;178;Buen Desempeno
199;181;163;170;Buen Desempeno
192;186;102;159;Buen Desempeno
106;117;93;105;Regular Desempeno
88;129;138;129;Aceptable Desmpeno
187;179;148;158;Buen Desempeno
178;151;135;200;Buen Desempeno
148;144;149;170;Buen Desempeno
159;159;177;183;Buen Desempeno
184;186;192;141;Buen Desempeno
156;164;152;203;Buen Desempeno
139;165;164;167;Buen Desempeno
175;119;148;201;Buen Desempeno
